tag,x,y
path,-23.2956,59.2508
path,-23.1448,56.8981
path,-22.8606,54.2652
path,-22.4835,51.7654
path,-22.1489,49.2581
path,-21.9793,46.7407
path,-22.0538,44.2119
path,-22.5206,41.6666
path,-23.3267,39.1198
path,-24.3967,36.5856
path,-25.5261,34.0941
path,-26.5172,31.6749
path,-27.2395,29.3474
path,-27.484,27.1436
path,-27.0993,25.0841
path,-26.0722,23.1655
path,-24.5135,21.3575
path,-22.5948,19.6178
path,-20.4216,17.92
path,-18.1533,16.224
path,-15.9527,14.4885
path,-13.8841,12.7022
path,-11.9967,10.866
path,-10.2165,9.02646
path,-8.50646,7.20992
path,-6.80976,5.45657
path,-5.06761,3.809
path,-3.24866,2.28623
path,-1.30599,0.916627
path,0.735175,-0.358182
path,2.86213,-1.57213
path,5.0505,-2.78258
path,7.27685,-4.04578
path,9.52559,-5.39899
path,11.7716,-6.9115
path,13.9997,-8.57586
path,16.2045,-10.3495
path,18.3866,-12.1012
path,20.5474,-13.6944
path,22.6875,-15.0401
path,24.8078,-16.0037
path,26.9084,-16.4414
path,28.9939,-16.3093
path,31.0748,-15.5836
path,33.1814,-14.4638
path,35.3321,-13.0631
path,37.5549,-11.5576
path,39.8782,-10.1229
path,42.3199,-8.87372
path,44.9182,-8.01311
path,47.6382,-7.54019
path,50.44,-7.40813
path,53.2276,-7.44484
path,55.907,-7.4846
path,58.4162,-7.41817
path,60.6609,-7.08025
path,62.5429,-6.29978
path,64.0359,-5.01862
path,65.14,-3.20577
path,65.9773,-1.00347
path,66.6168,1.51076
path,67.1643,4.2176
path,67.7254,6.99821
path,68.3701,9.77357
path,69.2159,12.4135
path,70.311,14.8534
path,71.6514,17.0847
path,73.1666,19.155
path,74.7804,21.1178
path,76.4437,23.007
path,78.0829,24.8735
path,79.6224,26.7691
path,81.0194,28.7246
path,82.203,30.7894
path,83.2129,32.9571
path,84.0725,35.2248
path,84.8298,37.5818
path,85.5306,40.0187
path,86.2054,42.5289
path,86.9019,45.1035
path,87.6639,47.7324
path,88.4891,50.4022
path,89.3337,53.0842
path,90.101,55.7382
path,90.7325,58.3388
path,91.1403,60.8476
path,91.2363,63.2264
path,90.9633,65.4502
path,90.2169,67.4726
path,89.0196,69.3102
path,87.4113,70.9865
path,85.5093,72.5652
path,83.4264,74.1079
path,81.2371,75.6552
path,79.0533,77.2683
path,76.9893,79.0099
path,75.1121,80.9152
path,73.5364,83.0474
path,72.1992,85.3404
path,71.0598,87.7511
path,70.0294,90.1947
path,69.0245,92.5902
path,67.9891,94.8835
path,66.8396,96.9933
path,65.4879,98.8337
path,63.8932,100.368
path,62.0033,101.55
path,59.8724,102.459
path,57.5282,103.135
path,55.0174,103.647
path,52.3859,104.063
path,49.6641,104.428
path,46.8983,104.811
path,44.1338,105.278
path,41.3929,105.839
path,38.6988,106.465
path,36.0608,107.067
path,33.4867,107.593
path,30.9881,107.966
path,28.5768,108.107
path,26.2604,107.963
path,24.0534,107.446
path,21.9555,106.526
path,19.9564,105.224
path,18.0236,103.645
path,16.1214,101.903
path,14.2268,100.072
path,12.3047,98.2653
path,10.3198,96.5966
path,8.26093,95.1027
path,6.12531,93.7957
path,3.9391,92.597
path,1.71665,91.4642
path,-0.52026,90.3326
path,-2.74986,89.1357
path,-4.95777,87.836
path,-7.12241,86.3752
path,-9.22386,84.7669
path,-11.2488,83.0164
path,-13.1772,81.1387
path,-14.9894,79.147
path,-16.6718,77.0506
path,-18.2048,74.8628
path,-19.5683,72.5973
path,-20.749,70.263
path,-21.7271,67.8735
path,-22.4826,65.4423
path,-23.0023,62.9784
path,-23.2408,60.2191
path,-23.3273,59.1131
big_orange,-18.3124,59.6613
big_orange,-18.1638,57.3327
yellow,-17.9016,54.9041
yellow,-17.5332,52.469
yellow,-17.1739,49.7573
yellow,-16.9802,46.835
yellow,-17.082,43.6816
yellow,-17.6699,40.4541
yellow,-18.6362,37.3879
yellow,-19.8162,34.5809
yellow,-20.9358,32.1119
yellow,-21.8143,29.9772
yellow,-22.3496,28.3041
yellow,-22.4867,27.3079
yellow,-22.3873,26.7563
yellow,-21.9643,26.0159
yellow,-20.9428,24.8575
yellow,-19.3788,23.4462
yellow,-17.3858,21.893
yellow,-15.1081,20.1897
yellow,-12.771,18.3454
yellow,-10.5074,16.3898
yellow,-8.45729,14.3976
yellow,-6.59987,12.479
yellow,-4.88922,10.6618
