tag,x,y
path,1.74137,93.0898
path,-0.375892,91.8508
path,-2.70317,90.4743
path,-4.84029,89.1628
path,-6.86516,87.7868
path,-8.73188,86.2951
path,-10.4117,84.6555
path,-11.852,82.8101
path,-13.0747,80.7773
path,-14.1008,78.5765
path,-14.984,76.2595
path,-15.775,73.8746
path,-16.5074,71.4541
path,-17.2363,69.0512
path,-17.9888,66.6889
path,-18.7711,64.3697
path,-19.5715,62.074
path,-20.377,59.7814
path,-21.1796,57.4787
path,-21.9694,55.1442
path,-22.7255,52.7663
path,-23.4245,50.3467
path,-24.0155,47.902
path,-24.4438,45.4529
path,-24.6735,43.0122
path,-24.6481,40.6001
path,-24.3226,38.2345
path,-23.6924,35.9228
path,-22.7875,33.6694
path,-21.6612,31.4745
path,-20.3459,29.3389
path,-18.89,27.2636
path,-17.3436,25.2501
path,-15.7342,23.2978
path,-14.0994,21.4045
path,-12.4455,19.5589
path,-10.7794,17.7541
path,-9.10982,15.9795
path,-7.44599,14.2248
path,-5.79377,12.4826
path,-4.16279,10.7431
path,-2.55606,8.98698
path,-0.975208,7.20055
path,0.579032,5.36096
path,2.10565,3.44575
path,3.60397,1.43995
path,5.07099,-0.686624
path,6.51415,-2.92358
path,7.94667,-5.23176
path,9.40202,-7.49952
path,10.9165,-9.60405
path,12.5138,-11.4657
path,14.2299,-12.9634
path,16.102,-13.974
path,18.1372,-14.4565
path,20.3273,-14.3942
path,22.6166,-13.8818
path,24.9732,-12.9707
path,27.3481,-11.7395
path,29.6927,-10.2666
path,31.9746,-8.60438
path,34.1411,-6.83423
path,36.1586,-5.02284
path,38.0252,-3.19837
path,39.7704,-1.37764
path,41.4344,0.430859
path,43.0423,2.2201
path,44.6316,3.97955
path,46.24,5.69872
path,47.8922,7.37041
path,49.6285,8.98568
path,51.4662,10.5221
path,53.4132,11.9627
path,55.4726,13.2767
path,57.6483,14.434
path,59.943,15.4143
path,62.3609,16.1876
path,64.9078,16.7207
path,67.5808,17.0027
path,70.3782,17.0132
path,73.2178,16.8638
path,76.0487,16.6232
path,78.7865,16.4067
path,81.3485,16.3275
path,83.6794,16.4609
path,85.6954,16.9215
path,87.3106,17.8271
path,88.4955,19.2129
path,89.2353,21.086
path,89.5959,23.3269
path,89.6132,25.8688
path,89.3421,28.6096
path,88.8375,31.4476
path,88.1357,34.3148
path,87.2927,37.1021
path,86.3582,39.7395
path,85.3601,42.2118
path,84.332,44.5479
path,83.3058,46.7877
path,82.3031,48.9557
path,81.3563,51.0886
path,80.4981,53.2234
path,79.7488,55.3835
path,79.1448,57.6085
path,78.6658,59.8991
path,78.2954,62.2539
path,77.9955,64.6614
path,77.73,67.1116
path,77.475,69.5979
path,77.1946,72.1105
path,76.8521,74.6401
path,76.4264,77.177
path,75.8887,79.7041
path,75.226,82.1872
path,74.4285,84.6052
path,73.4818,86.9256
path,72.3715,89.116
path,71.0879,91.1549
path,69.6147,93.0071
path,67.9438,94.6502
path,66.0818,96.0875
path,64.0563,97.3516
path,61.9027,98.4873
path,59.6434,99.5224
path,57.3122,100.499
path,54.9432,101.461
path,52.5572,102.431
path,50.1865,103.448
path,47.8317,104.466
path,45.494,105.458
path,43.1721,106.374
path,40.865,107.165
path,38.5721,107.797
path,36.2927,108.22
path,34.0256,108.393
path,31.7703,108.308
path,29.525,107.981
path,27.2884,107.441
path,25.0592,106.705
path,22.836,105.799
path,20.6171,104.748
path,18.4015,103.569
path,16.1876,102.29
path,13.9738,100.934
path,11.7591,99.5203
path,9.54196,98.0739
path,7.32071,96.6206
path,5.09433,95.1777
path,2.61143,93.6283
path,1.61701,93.008
big_orange,4.25208,88.7659
big_orange,2.15997,87.5416
yellow,-0.124074,86.1908
yellow,-2.12794,84.9624
yellow,-3.89903,83.7616
yellow,-5.42261,82.5469
yellow,-6.68652,81.3204
yellow,-7.73021,79.9798
yellow,-8.65896,78.4318
yellow,-9.49515,76.6302
yellow,-10.2737,74.5822
yellow,-11.0088,72.3636
yellow,-11.7222,70.0043
yellow,-12.4617,67.567
yellow,-13.2376,65.1312
yellow,-14.0416,62.7476
yellow,-14.8522,60.4223
yellow,-15.6576,58.1299
yellow,-16.4507,55.8548
yellow,-17.2185,53.5856
yellow,-17.9408,51.3151
yellow,-18.5916,49.065
yellow,-19.1206,46.8825
yellow,-19.4885,44.786
yellow,-19.678,42.8019
yellow,-19.6616,40.9664
yellow,-19.4238,39.2355
yellow,-18.9532,37.5163
yellow,-18.2393,35.7462
yellow,-17.3058,33.9302
yellow,-16.1692,32.0875
yellow,-14.8598,30.2229
yellow,-13.4313,28.3635
yellow,-11.9125,26.5219
yellow,-10.345,24.7067
yellow,-8.74651,22.923
yellow,-7.12153,21.1629
yellow,-5.47483,19.4127
yellow,-3.81785,17.6652
yellow,-2.15608,15.9129
yellow,-0.494545,14.1408
yellow,1.16079,12.3314
yellow,2.80708,10.4708
yellow,4.4444,8.53254
yellow,6.06448,6.49986
yellow,7.66628,4.35502
yellow,9.23073,2.08764
yellow,10.7395,-0.250245
yellow,12.175,-2.56324
yellow,13.5381,-4.69012
yellow,14.8503,-6.5177
yellow,16.0736,-7.95456
yellow,17.0946,-8.8654
yellow,17.8867,-9.30333
yellow,18.6321,-9.481
yellow,19.6911,-9.43486
yellow,21.1518,-9.1012
yellow,22.9108,-8.41582
yellow,24.8624,-7.40108
yellow,26.8878,-6.12743
yellow,28.9201,-4.64579
yellow,30.8897,-3.03581
yellow,32.7416,-1.37262
yellow,34.4734,0.320842
yellow,36.1261,2.04573
yellow,37.7354,3.79494
yellow,39.3276,5.56689
yellow,40.9506,7.36333
yellow,42.6359,9.16434
yellow,44.4109,10.9593
yellow,46.3214,12.7358
yellow,48.3749,14.452
yellow,50.5804,16.0828
yellow,52.9526,17.5953
yellow,55.4914,18.9448
yellow,58.1993,20.1004
yellow,61.0886,21.023
yellow,64.1364,21.6609
yellow,67.3139,21.9956
yellow,70.5013,22.0117
yellow,73.5609,21.852
yellow,76.4577,21.6064
yellow,79.0651,21.399
yellow,81.2931,21.3272
yellow,83.0024,21.4149
yellow,83.9347,21.6012
yellow,84.144,21.6966
yellow,84.1903,21.7556
yellow,84.4051,22.378
yellow,84.6114,23.7208
yellow,84.619,25.6289
yellow,84.3898,27.921
yellow,83.9457,30.4131
yellow,83.3124,32.9972
yellow,82.5413,35.5452
yellow,81.6815,37.9706
yellow,80.7524,40.2702
yellow,79.7706,42.5002
yellow,78.7639,44.6971
yellow,77.7491,46.8914
yellow,76.7512,49.1409
yellow,75.8154,51.4707
yellow,74.9711,53.909
yellow,74.2827,56.4424
yellow,73.7473,58.9999
yellow,73.3442,61.557
yellow,73.029,64.0833
yellow,72.7576,66.5874
yellow,72.5035,69.0654
yellow,72.2323,71.4974
yellow,71.9086,73.8905
yellow,71.5145,76.2425
yellow,71.0263,78.5391
yellow,70.4341,80.7597
yellow,69.7363,82.878
yellow,68.9325,84.851
yellow,68.0202,86.653
yellow,67.0081,88.2643
yellow,65.8973,89.6633
yellow,64.6578,90.8816
yellow,63.2286,91.9815
yellow,61.5665,93.0156
yellow,59.6957,94.0007
yellow,57.6365,94.9429
yellow,55.4059,95.8767
yellow,53.0614,96.8285
yellow,50.6302,97.817
yellow,48.2087,98.8554
yellow,45.8622,99.8702
yellow,43.599,100.831
yellow,41.4428,101.683
yellow,39.3877,102.388
yellow,37.4482,102.925
yellow,35.6432,103.262
yellow,33.9279,103.393
yellow,32.2252,103.329
yellow,30.4743,103.072
yellow,28.6622,102.634
yellow,26.7899,102.014
yellow,24.8522,101.223
yellow,22.8628,100.28
yellow,20.8276,99.1974
yellow,18.7448,97.993
yellow,16.6248,96.6949
yellow,14.4705,95.3193
yellow,12.2767,93.888
yellow,10.0491,92.4306
yellow,7.77585,90.9576
yellow,5.25828,89.3863
yellow,4.2482,88.7563
big_orange,-0.769341,97.4137
big_orange,-2.91176,96.16
blue,-5.28227,94.7578
blue,-7.55264,93.3632
blue,-9.83129,91.8119
blue,-12.0411,90.0433
blue,-14.1368,87.9907
blue,-15.9739,85.6403
blue,-17.4904,83.1228
blue,-18.7064,80.5229
blue,-19.6943,77.9367
blue,-20.5412,75.3857
blue,-21.2926,72.9038
blue,-22.011,70.5355
blue,-22.7399,68.2465
blue,-23.5007,65.9918
blue,-24.2908,63.7258
blue,-25.0964,61.4329
blue,-25.9086,59.1025
blue,-26.7203,56.7027
blue,-27.5103,54.2176
blue,-28.2575,51.6284
blue,-28.9105,48.9215
blue,-29.3991,46.1197
blue,-29.6691,43.2225
blue,-29.6347,40.2338
blue,-29.2213,37.2336
blue,-28.4317,34.3292
blue,-27.3358,31.5925
blue,-26.0166,29.0188
blue,-24.5226,26.5902
blue,-22.9203,24.3043
blue,-21.256,22.1367
blue,-19.5559,20.0737
blue,-17.8537,18.1023
blue,-16.1445,16.1947
blue,-14.4372,14.3452
blue,-12.7448,12.5463
blue,-11.0741,10.7843
blue,-9.43146,9.05221
blue,-7.83103,7.34548
blue,-6.27292,5.64259
blue,-4.7575,3.93034
blue,-3.28634,2.18939
blue,-1.85319,0.391635
blue,-0.458348,-1.47511
blue,0.911246,-3.46089
blue,2.28883,-5.59692
blue,3.71832,-7.90028
blue,5.26593,-10.3089
blue,6.98275,-12.6904
blue,8.95399,-14.9768
blue,11.3653,-17.0614
blue,14.3173,-18.6446
blue,17.6424,-19.4319
blue,20.9635,-19.3536
blue,24.0815,-18.6624
blue,27.0355,-17.5255
blue,29.8337,-16.0778
blue,32.4976,-14.4058
blue,35.029,-12.563
blue,37.3926,-10.6327
blue,39.5756,-8.67307
blue,41.5769,-6.71758
blue,43.4146,-4.80101
blue,45.1335,-2.93322
